confidencia testing training
0.001 94.2529 95.977
0.025 94.2529 95.977
0.050 94.2529 95.977
0.075 94.2529 95.977
0.100 94.2529 95.977
0.125 94.2529 95.977
0.150 94.2529 95.977
0.175 94.2529 96.8391
0.200 94.2529 96.8391
0.225 94.2529 96.8391
0.250 94.2529 96.8391
0.275 94.2529 96.8391
0.300 94.2529 96.8391
0.325 94.2529 96.8391
0.350 94.2529 96.8391
0.375 94.2529 96.8391
0.400 94.2529 96.8391
0.425 94.2529 96.8391
0.450 94.2529 96.8391
0.475 94.2529 96.8391
0.500 94.2529 96.8391
0.525 93.1034 97.4138
0.550 93.1034 97.4138
0.575 93.1034 97.4138
0.600 93.1034 97.4138
0.625 93.1034 97.4138
0.650 93.1034 97.4138
0.675 93.1034 97.4138
0.700 93.1034 97.4138
0.725 93.1034 97.4138
0.750 93.1034 97.4138
0.775 93.1034 97.4138
0.800 93.1034 97.4138
0.825 93.1034 97.4138
0.850 93.1034 97.4138
0.875 93.1034 97.4138
0.900 93.1034 97.4138
0.925 93.1034 97.4138
0.950 93.1034 97.4138
0.975 93.1034 97.4138
