

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
     1        2:y        2:y       0.988 
     2        2:y        2:y       0.988 
     3        1:?        1:n       0.946 
     4        1:n        1:n       0.946 
     5        1:n        1:n       0.946 
     6        1:n        1:n       0.946 
     7        2:y        1:n   +   0.946 
     8        2:y        2:y       0.988 
     9        2:y        2:y       0.988 
    10        1:n        1:n       0.946 
    11        2:y        2:y       0.988 
    12        2:y        2:y       0.988 
    13        1:n        1:n       0.946 
    14        1:n        1:n       0.946 
    15        2:y        2:y       0.988 
    16        2:y        2:y       0.988 
    17        1:n        1:n       0.946 
    18        1:n        1:n       0.946 
    19        2:y        2:y       0.988 
    20        1:n        1:n       0.946 
    21        1:n        1:n       0.946 
    22        1:n        1:n       0.946 
    23        1:n        1:n       0.946 
    24        1:n        1:n       0.946 
    25        1:n        1:n       0.946 
    26        1:n        1:n       0.946 
    27        1:n        1:n       0.946 
    28        1:n        1:n       0.946 
    29        2:y        2:y       0.988 
    30        1:n        1:n       0.946 
    31        2:y        2:y       0.988 
    32        1:n        1:n       0.946 
    33        1:n        1:n       0.946 
    34        2:y        2:y       0.988 
    35        1:n        1:n       0.946 
    36        2:y        2:y       0.988 
    37        2:y        2:y       0.988 
    38        2:y        2:y       0.988 
    39        2:y        2:y       0.988 
    40        1:n        1:n       0.946 
    41        1:n        1:n       0.946 
    42        1:n        1:n       0.946 
    43        1:n        1:n       0.946 
    44        1:n        1:n       0.946 
    45        1:n        1:n       0.946 
    46        1:n        1:n       0.946 
    47        1:n        1:n       0.946 
    48        1:n        1:n       0.946 
    49        1:n        1:n       0.946 
    50        2:y        2:y       0.988 
    51        1:n        1:n       0.946 
    52        2:y        2:y       0.988 
    53        1:n        1:n       0.946 
    54        2:y        2:y       0.988 
    55        1:n        1:n       0.946 
    56        2:y        2:y       0.988 
    57        2:y        2:y       0.988 
    58        2:y        2:y       0.988 
    59        2:y        2:y       0.988 
    60        2:y        2:y       0.988 
    61        1:n        1:n       0.946 
    62        2:y        2:y       0.988 
    63        1:n        1:n       0.946 
    64        1:n        1:n       0.946 
    65        1:n        1:n       0.946 
    66        2:y        2:y       0.988 
    67        2:y        2:y       0.988 
    68        2:y        2:y       0.988 
    69        1:n        1:n       0.946 
    70        1:n        1:n       0.946 
    71        1:n        1:n       0.946 
    72        2:y        2:y       0.988 
    73        1:n        1:n       0.946 
    74        2:y        2:y       0.988 
    75        1:n        1:n       0.946 
    76        2:y        1:n   +   0.946 
    77        1:n        1:n       0.946 
    78        2:y        1:n   +   0.946 
    79        1:n        1:n       0.946 
    80        2:y        2:y       0.988 
    81        1:n        1:n       0.946 
    82        1:n        1:n       0.946 
    83        2:y        2:y       0.988 
    84        2:y        2:y       0.988 
    85        2:y        2:y       0.988 
    86        1:n        1:n       0.946 
    87        2:y        2:y       0.988 
    88        2:y        2:y       0.988 
    89        1:n        1:n       0.946 
    90        2:y        2:y       0.988 
    91        1:n        1:n       0.946 
    92        1:n        1:n       0.946 
    93        1:n        1:n       0.946 
    94        1:n        1:n       0.946 
    95        1:n        1:n       0.946 
    96        1:n        1:n       0.946 
    97        1:n        1:n       0.946 
    98        1:n        1:n       0.946 
    99        1:n        1:n       0.946 
   100        2:y        2:y       0.988 
   101        1:n        1:n       0.946 
   102        1:n        1:n       0.946 
   103        1:n        1:n       0.946 
   104        1:n        1:n       0.946 
   105        1:?        1:n       0.946 
   106        1:n        1:n       0.946 
   107        2:y        2:y       0.988 
   108        1:?        2:y   +   0.988 
   109        1:n        1:n       0.946 
   110        1:n        1:n       0.946 
   111        1:n        1:n       0.946 
   112        2:y        2:y       0.988 
   113        1:n        1:n       0.946 
   114        2:y        2:y       0.988 
   115        1:n        1:n       0.946 
   116        1:n        1:n       0.946 
   117        1:n        1:n       0.946 
   118        2:y        2:y       0.988 
   119        1:n        1:n       0.946 
   120        2:y        2:y       0.988 
   121        2:y        2:y       0.988 
   122        2:y        2:y       0.988 
   123        2:y        2:y       0.988 
   124        2:y        2:y       0.988 
   125        1:n        1:n       0.946 
   126        2:y        2:y       0.988 
   127        2:y        2:y       0.988 
   128        1:n        1:n       0.946 
   129        1:n        1:n       0.946 
   130        1:n        1:n       0.946 
   131        1:n        1:n       0.946 
   132        1:n        1:n       0.946 
   133        2:y        2:y       0.988 
   134        2:y        2:y       0.988 
   135        2:y        2:y       0.988 
   136        2:y        2:y       0.988 
   137        2:y        2:y       0.988 
   138        1:n        1:n       0.946 
   139        1:n        1:n       0.946 
   140        1:n        1:n       0.946 
   141        2:y        2:y       0.988 
   142        2:y        2:y       0.988 
   143        2:y        2:y       0.988 
   144        1:n        1:n       0.946 
   145        1:n        1:n       0.946 
   146        1:n        1:n       0.946 
   147        2:y        2:y       0.988 
   148        1:n        1:n       0.946 
   149        2:y        2:y       0.988 
   150        1:n        1:n       0.946 
   151        2:y        2:y       0.988 
   152        2:y        1:n   +   0.946 
   153        1:n        1:n       0.946 
   154        1:n        1:n       0.946 
   155        2:y        2:y       0.988 
   156        2:y        2:y       0.988 
   157        2:y        2:y       0.988 
   158        1:n        1:n       0.946 
   159        2:y        2:y       0.988 
   160        1:n        1:n       0.946 
   161        1:n        1:n       0.946 
   162        1:n        1:n       0.946 
   163        1:n        1:n       0.946 
   164        2:y        2:y       0.988 
   165        1:n        1:n       0.946 
