faltantes hojas nodos
0.0 6 11
0.05 6 11
0.1 6 11
0.150 6 11
0.2 6 11
0.25 6 11
0.3 6 11
0.35 6 11
0.399 6 11
0.449 6 11
0.499 6 11
0.549 6 11
0.6 6 11
0.65 6 11
0.700 6 11
0.750 6 11
0.800 6 11
0.850 6 11
0.900 6 11
0.950 6 11
1.000 6 11
1.050 6 11
1.100 6 11
1.150 6 11
1.200 6 11
1.250 6 11
1.300 6 11
1.350 6 11
1.400 6 11
1.450 6 11
1.500 6 11
1.550 6 11
1.600 6 11
1.650 6 11
1.700 6 11
1.750 6 11
1.800 6 11
1.850 6 11
1.900 6 11
1.950 6 11
2.000 6 11
2.050 6 11
2.100 6 11
2.150 6 11
2.2 6 11
2.25 6 11
2.3 6 11
2.349 6 11
2.399 6 11
2.449 6 11
2.499 6 11
2.549 6 11
2.599 6 11
2.649 6 11
2.699 6 11
2.749 6 11
2.799 6 11
2.849 6 11
2.899 6 11
2.949 6 11
2.999 6 11
3.049 6 11
3.099 6 11
3.149 6 11
3.199 6 11
3.249 6 11
3.299 6 11
3.349 6 11
3.399 6 11
3.449 6 11
3.499 6 11
3.549 6 11
3.599 6 11
3.649 6 11
3.699 6 11
3.749 6 11
3.799 6 11
3.849 6 11
3.899 6 11
3.949 6 11
3.999 6 11
4.049 6 11
4.099 6 11
4.149 6 11
4.199 6 11
4.249 6 11
4.299 6 11
4.349 6 11
4.399 6 11
4.449 6 11
4.499 6 11
4.549 6 11
4.599 6 11
4.649 6 11
4.699 6 11
4.749 6 11
4.799 6 11
4.849 6 11
4.899 6 11
4.949 6 11
4.999 6 11
5.049 6 11
5.099 6 11
5.149 6 11
5.199 6 11
5.249 6 11
5.299 6 11
5.349 6 11
5.399 6 11
5.449 6 11
5.499 6 11
5.549 6 11
5.599 6 11
5.649 6 11
5.699 6 11
5.749 6 11
5.799 6 11
5.849 6 11
5.899 6 11
5.949 6 11
5.999 6 11
6.049 6 11
6.099 6 11
6.149 6 11
6.199 6 11
6.249 6 11
6.299 6 11
6.349 6 11
6.399 6 11
6.449 6 11
6.499 6 11
6.549 6 11
6.599 6 11
6.649 6 11
6.699 6 11
6.749 6 11
6.799 6 11
6.849 6 11
6.899 6 11
6.949 6 11
6.999 6 11
7.049 6 11
7.099 6 11
7.149 6 11
7.199 6 11
7.249 6 11
7.299 6 11
7.349 6 11
7.399 6 11
7.449 6 11
7.499 6 11
7.549 6 11
7.599 6 11
7.649 6 11
7.699 6 11
7.749 6 11
7.799 6 11
7.849 6 11
7.899 6 11
7.949 6 11
7.999 6 11
8.049 6 11
8.099 6 11
8.149 6 11
8.199 6 11
8.249 6 11
8.299 6 11
8.349 6 11
8.399 6 11
8.449 6 11
8.499 6 11
8.549 6 11
8.599 6 11
8.649 6 11
8.699 6 11
8.749 6 11
8.799 6 11
8.849 6 11
8.899 6 11
8.949 6 11
8.999 6 11
9.049 7 13
9.099 7 13
9.149 7 13
9.199 7 13
9.249 7 13
9.299 7 13
9.349 7 13
9.399 7 13
9.45 7 13
9.5 7 13
9.55 7 13
9.600 7 13
9.650 7 13
9.700 7 13
9.750 7 13
9.800 7 13
9.850 7 13
9.900 7 13
9.950 7 13
10.00 7 13
10.05 7 13
10.10 7 13
10.15 7 13
10.20 7 13
10.25 7 13
10.30 7 13
10.35 7 13
10.40 7 13
10.45 7 13
10.50 7 13
10.55 7 13
10.60 7 13
10.65 7 13
10.70 7 13
10.75 7 13
10.80 7 13
10.85 7 13
10.90 7 13
10.95 7 13
11.00 7 13
11.05 7 13
11.10 7 13
11.15 7 13
11.20 7 13
11.25 7 13
11.30 7 13
11.35 7 13
11.40 7 13
